COMMUNITY,Location 1,CSR #,STATUS,SR TYPE,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION
COLLEGE HILL,"6339 NORTH BEND RD
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12049629,CLOSED  ,Pothole repair,Pothole on Center Hill Av between Townevista Dr and  Este Av.,11/02/2012 12:00:00 AM,4:10 PM,CENTER HILL AV & TOWNEVISTA DR - GJ1462842011,80,STANDARD,PHONE,23700030106,11/02/2012 12:00:00 AM,DSWEETEN,11/04/2012 12:00:00 AM,,11/06/2012 12:00:00 AM,11/06/2012 12:00:00 AM,,1397668,443741,
OVER-THE-RHINE,"1243 ELM ST
Cincinnati, OH
(39.10958404293336, -84.51851560630223)",SR12049581,CLOSED  ,Pothole repair,large pothole in front of Music Hall,11/02/2012 12:00:00 AM,1:07 PM,1243 ELM ST - GJ1449831846,9,STANDARD,PHONE,8100030040,11/02/2012 12:00:00 AM,DCOTTRELL,11/04/2012 12:00:00 AM,,11/06/2012 12:00:00 AM,11/06/2012 12:00:00 AM,TMACK,1395588,410464,
WEST PRICE HILL,"1722 GILSEY AV
Cincinnati, OH
(39.12084355474019, -84.58154908733587)",SR12049546,CLOSED  ,Pothole repair,Large hazardous pothole in the intersection,11/02/2012 12:00:00 AM,10:02 AM,DEWEY AV & GILSEY AV - GJ0907132977,98,HAZARDOUS,PHONE,18100020124,11/02/2012 12:00:00 AM,KMALONE,11/04/2012 12:00:00 AM,,11/30/2012 12:00:00 AM,11/30/2012 12:00:00 AM,TMACK,1377991,415053,
SOUTH FAIRMOUNT,"2108 HARRISON AV
Cincinnati, OH
(39.13382077162299, -84.5693273009577)",SR12049496,CLOSED  ,Pothole repair,LARGE HAZ POTHOLE ON HARRISON BETWEEN SARVIS CT AND ROBERTS,11/01/2012 12:00:00 AM,4:35 PM,HARRISON AV & SARVIS CT - GJ1009434434,86.01,STANDARD,PHONE,20600130011,11/01/2012 12:00:00 AM,CCOLEMAN,11/03/2012 12:00:00 AM,,11/05/2012 12:00:00 AM,11/05/2012 12:00:00 AM,,1381580,419659,
NORTHSIDE,"4231 SPRING GROVE AV
Cincinnati, OH
(39.159730239287114, -84.53256301639988)",SR12049495,CLOSED  ,Pothole repair,The potholes are between Knowlton St. and Spring Grove Av along Dane Av,11/01/2012 12:00:00 AM,4:31 PM,DANE AV & SPRING GROVE AV,74,STANDARD,INTERNET,22100190106,11/01/2012 12:00:00 AM,CSRWEB,11/03/2012 12:00:00 AM,,11/06/2012 12:00:00 AM,11/06/2012 12:00:00 AM,,1392291,428817,
COLLEGE HILL,"6118 SUNRIDGE DR
Cincinnati, OH
(39.20050550009557, -84.52900170116385)",SR12049487,CLOSED  ,Pothole repair,Broken out area around inlet or manhole cover also several potholes infront of house ,11/01/2012 12:00:00 AM,3:42 PM,6118 SUNRIDGE DR - GJ1339641934 6118 Sunridge Dr,81,STANDARD,PHONE,23700010014,11/01/2012 12:00:00 AM,VBANKS,11/03/2012 12:00:00 AM,,11/14/2012 12:00:00 AM,11/14/2012 12:00:00 AM,,1393621,443692,
LINWOOD,"3643 LINWOOD AV
Cincinnati, OH
(39.12190475473477, -84.41684725088987)",SR12049485,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,11/01/2012 12:00:00 AM,3:41 PM,COLUMBIA EB PKWY BRIDGE & LINWOOD AV,47.02,STANDARD,INTERNET,1900010023,11/01/2012 12:00:00 AM,CSRWEB,11/03/2012 12:00:00 AM,,11/28/2012 12:00:00 AM,11/28/2012 12:00:00 AM,,1424637,414501,
WESTWOOD,"3287 FERNCROFT DR
Cincinnati, OH
(39.14834482239621, -84.58404920257732)",SR12049365,CLOSED  ,Pothole repair,address given 3294 Ferncroft,11/01/2012 12:00:00 AM,9:11 AM,3287 FERNCROFT DR - GJ0875936023,100.02,STANDARD,PHONE,20900040060,11/01/2012 12:00:00 AM,DCOTTRELL,11/03/2012 12:00:00 AM,,11/08/2012 12:00:00 AM,11/08/2012 12:00:00 AM,,1377466,425082,
WESTWOOD,"2514 MEYERHILL DR
Cincinnati, OH
(39.147148724097235, -84.58168398564027)",SR12049364,CLOSED  ,Pothole repair,large pothole in road,11/01/2012 12:00:00 AM,9:10 AM,2514 MEYERHILL DR - GJ0899035908,100.02,STANDARD,PHONE,20900040125,11/01/2012 12:00:00 AM,DCOTTRELL,11/03/2012 12:00:00 AM,,11/07/2012 12:00:00 AM,11/07/2012 12:00:00 AM,,1378203,424669,
AVONDALE,"3110 HARVEY AV
Cincinnati, OH
(39.13549253830926, -84.49877783914218)",SR12049222,CLOSED  ,Pothole repair,Large hazardous pothole on Vernon at MLKing in front of dunkin donuts there is a large hazardous pothole,10/31/2012 12:00:00 AM,10:00 AM,VERNON PL & E MARTIN LUTHER KING JR DR - GJ1617634733 Vernon @ Martin luther King Jr. Drive,34,STANDARD,PHONE,10600010182,10/31/2012 12:00:00 AM,VBANKS,11/02/2012 12:00:00 AM,,10/31/2012 12:00:00 AM,10/31/2012 12:00:00 AM,,1401553,419649,
PLEASANT RIDGE,"6244 MONTGOMERY RD
Cincinnati, OH
(39.184335690008766, -84.42325941695879)",SR12049202,CLOSED  ,Pothole repair,Caused flat tire.  AAA responded and said that tire rim was damaged and will be filing a claim.  This is a request from a citizen so I am filling out the form for her.  She will be contacting Law for a damage claim.,10/31/2012 12:00:00 AM,8:58 AM,MONTGOMERY RD & GRAND VISTA AV,57.01,STANDARD,INTERNET,12500020035,10/31/2012 12:00:00 AM,CSRWEB,11/02/2012 12:00:00 AM,,11/26/2012 12:00:00 AM,11/26/2012 12:00:00 AM,,1423421,437180,
MADISONVILLE,"4315 WATTERSON ST
Cincinnati, OH
(39.152139961359865, -84.39189106457678)",SR12049168,CLOSED  ,Pothole repair,1 pothole at Watterson and Bramble Av and 1 at 4315 and 4317 Watterson Av.,10/30/2012 12:00:00 AM,4:27 PM,4315 WATTERSON ST - GJ2535436904,56,STANDARD,PHONE,3700010172,10/30/2012 12:00:00 AM,DSWEETEN,11/01/2012 12:00:00 AM,,11/15/2012 12:00:00 AM,11/15/2012 12:00:00 AM,,1431976,425265,
NORTHSIDE,"4350 KIRBY AV
Cincinnati, OH
(39.169910564658835, -84.54663740615842)",SR12049102,CLOSED  ,Pothole repair,2 areas 24 in diameter 2-3 inch deep,10/30/2012 12:00:00 AM,11:45 AM,KIRBY AV & GLEN PARKER AV - GJ1194138511 GLEN PARKER AV and KIRBY AV,79,STANDARD,PHONE,19700360156,10/30/2012 12:00:00 AM,DSWEETEN,11/01/2012 12:00:00 AM,,11/01/2012 12:00:00 AM,11/01/2012 12:00:00 AM,,1388297,432713,
BOND HILL,"2098 SEYMOUR AV
Cincinnati, OH
(39.183100397207234, -84.45659048818463)",SR12049080,CLOSED  ,Pothole repair,WB Langdpm Farm at Seymour curb lane,10/30/2012 12:00:00 AM,10:45 AM,LANGDON FARM RD & SEYMOUR AV - GJ1970140086 Langdon Farm Rd & Seymour Ave,59,STANDARD,PHONE,12000040010,10/30/2012 12:00:00 AM,VBANKS,11/01/2012 12:00:00 AM,,11/01/2012 12:00:00 AM,11/01/2012 12:00:00 AM,,1413975,436609,
PADDOCK HILLS,"101 NORWOOD LATERAL EB
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12048993,CLOSED  ,Pothole repair,The Ridge Av ramp is crumbling,10/29/2012 12:00:00 AM,4:20 PM,101 NORWOOD LATERAL EB - GJ1885938528,63,STANDARD,PHONE,11900010249,10/29/2012 12:00:00 AM,DSWEETEN,10/31/2012 12:00:00 AM,,11/14/2012 12:00:00 AM,11/14/2012 12:00:00 AM,,1410963,431641,
NORTHSIDE,"4151 KIRBY AV
Cincinnati, OH
(39.16374726333374, -84.5477831640181)",SR12048879,CLOSED  ,Pothole repair,This is area needs to be patched before it becomes a hazardous situation. On Kirby Av. between Chase Av and Glen Parker Av.,10/29/2012 12:00:00 AM,9:50 AM,KIRBY AV & CHASE AV - GJ1189437895,78,STANDARD,PHONE,19500280001,10/29/2012 12:00:00 AM,DSWEETEN,10/31/2012 12:00:00 AM,,11/01/2012 12:00:00 AM,11/01/2012 12:00:00 AM,,1388041,430703,
EAST PRICE HILL,"1221 FAIRBANKS AV
Cincinnati, OH
(39.11438642256985, -84.56786140604993)",SR12048844,CLOSED  ,Pothole repair,their is moor than 1 pothole on street,10/28/2012 12:00:00 AM,8:22 PM,1221 FAIRBANKS AV CINC - GJ1026332286,92,STANDARD,INTERNET,17300030126,10/28/2012 12:00:00 AM,CSRWEB,10/30/2012 12:00:00 AM,,10/31/2012 12:00:00 AM,10/31/2012 12:00:00 AM,,1381784,412597,
EAST PRICE HILL,"1126 MCPHERSON AV
Cincinnati, OH
(39.11327126325352, -84.57016367044491)",SR12048843,CLOSED  ,Pothole repair,re-occurring pothole in middle of street,10/28/2012 12:00:00 AM,5:29 PM,1126 MCPHERSON AV CINC - GJ1009832159,94,STANDARD,INTERNET,17400080014,10/28/2012 12:00:00 AM,CSRWEB,10/30/2012 12:00:00 AM,,10/31/2012 12:00:00 AM,10/31/2012 12:00:00 AM,,1381224,412207,
WESTWOOD,"3119 SUNSHINE AV
Cincinnati, OH
(39.14423492072228, -84.57887810090887)",SR12048810,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,10/26/2012 12:00:00 AM,3:40 PM,3119 SUNSHINE AV CINC - GJ0921835575,100.02,STANDARD,INTERNET,20700540069,10/26/2012 12:00:00 AM,CSRWEB,10/28/2012 12:00:00 AM,,10/31/2012 12:00:00 AM,10/31/2012 12:00:00 AM,,1378901,423540,
EAST WALNUT HILLS,"1946 WILLIAM H TAFT RD
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12048447,CLOSED  ,Pothole repair,Wb Columbia Between Delta and Torrence  inthe curb lane by the wall there is a large haz. Pothole,10/24/2012 12:00:00 AM,2:52 PM,COLUMBIA PKWY & TORRENCE PKWY - GJ1923333742 WB Columbia Pkwy bet. Delta and Torrence Pkwy,42,HAZARDOUS,PHONE,5600060086,10/24/2012 12:00:00 AM,VBANKS,10/26/2012 12:00:00 AM,,10/31/2012 12:00:00 AM,10/31/2012 12:00:00 AM,TMACK,1411407,415903,
NORTHSIDE,"2650 FIRTREE CT
Cincinnati, OH
(39.17476690361701, -84.54589096887412)",SR12048430,CLOSED  ,Pothole repair,large potholes in front of the address. ,10/24/2012 12:00:00 AM,2:05 PM,2650 FIRTREE CT - GJ1200839029,79,STANDARD,PHONE,20000460145,10/24/2012 12:00:00 AM,DCOTTRELL,10/26/2012 12:00:00 AM,,10/29/2012 12:00:00 AM,10/29/2012 12:00:00 AM,TMACK,1388601,434400,
NORTH FAIRMOUNT,"2608 LIDDELL ST
Cincinnati, OH
(39.13222897163115, -84.54697015530928)",SR12048325,CLOSED  ,Pothole repair,there are potholes from fairmount ave to baltimore ave.,10/23/2012 12:00:00 AM,8:41 PM,2608 LIDDELL ST CINC - GJ1203534323,86.01,STANDARD,INTERNET,20200330136,10/23/2012 12:00:00 AM,CSRWEB,10/25/2012 12:00:00 AM,,10/31/2012 12:00:00 AM,10/31/2012 12:00:00 AM,,1387924,418980,
CARTHAGE,"7208 VINE ST
Cincinnati, OH
(39.19576607300121, -84.47863067430279)",SR12048322,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,10/23/2012 12:00:00 AM,8:29 PM,VINE ST & GRANITE AL,61,STANDARD,INTERNET,24000010084,10/23/2012 12:00:00 AM,CSRWEB,10/25/2012 12:00:00 AM,,10/31/2012 12:00:00 AM,10/31/2012 12:00:00 AM,,1407811,441677,
AVONDALE,"3610 NORWICH AV
Cincinnati, OH
(39.14991863594747, -84.50603301653553)",SR12048215,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,10/23/2012 12:00:00 AM,11:28 AM,3610 NORWICH AV CINC - GJ1552936375,69,STANDARD,INTERNET,21600450126,10/23/2012 12:00:00 AM,CSRWEB,10/25/2012 12:00:00 AM,,10/29/2012 12:00:00 AM,10/29/2012 12:00:00 AM,,1399708,425135,
BOND HILL,"1122 LOIS DR
Cincinnati, OH
(39.181008198500365, -84.4785587285404)",SR12048089,CLOSED  ,Pothole repair,ALL ALONG THE FRONT OF THE DRIVEWAY,10/22/2012 12:00:00 AM,1:37 PM,1122 LOIS DR CINC - GJ1779239913,64,STANDARD,INTERNET,11700040141,10/22/2012 12:00:00 AM,CSRWEB,10/24/2012 12:00:00 AM,,10/31/2012 12:00:00 AM,10/31/2012 12:00:00 AM,,1407696,436356,
CORRYVILLE,"2600 EUCLID AV
Cincinnati, OH
(39.12904979541158, -84.50793635948429)",SR12048053,CLOSED  ,Pothole repair,There is a large pothole on Corry St. at 2600 Euclid Av.,10/22/2012 12:00:00 AM,11:51 AM,2600 EUCLID AV - GJ1544034072,33,STANDARD,PHONE,9200020031,10/22/2012 12:00:00 AM,DSWEETEN,10/24/2012 12:00:00 AM,,10/29/2012 12:00:00 AM,10/29/2012 12:00:00 AM,,1399034,417603,
COLLEGE HILL,"1600 N DIXON CIR
Cincinnati, OH
(39.20550573057852, -84.54800437564296)",SR12047949,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,10/20/2012 12:00:00 AM,4:12 PM,1600 N DIXON CIR CINC - GJ1171742467,82.01,STANDARD,INTERNET,23200040098,10/20/2012 12:00:00 AM,CSRWEB,10/22/2012 12:00:00 AM,,10/29/2012 12:00:00 AM,10/29/2012 12:00:00 AM,,1388210,445712,N 
CBD/RIVERFRONT,"312 PIKE ST
Cincinnati, OH
(39.10160705653345, -84.50297532163592)",SR12047911,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,10/19/2012 12:00:00 AM,4:01 PM,PIKE ST & LYTLE ST,6,STANDARD,INTERNET,8400060005,10/19/2012 12:00:00 AM,CSRWEB,10/21/2012 12:00:00 AM,,11/01/2012 12:00:00 AM,11/01/2012 12:00:00 AM,,1400095,407561,
CUF,"2582 W MCMICKEN AV
Cincinnati, OH
(39.13011556486231, -84.53059350115575)",SR12047907,CLOSED  ,Pothole repair,Looks like area around it is damaged and craked too.,10/19/2012 12:00:00 AM,3:51 PM,STRAIGHT ST & W MCMICKEN AV,29,STANDARD,INTERNET,9800020009,10/19/2012 12:00:00 AM,CSRWEB,10/21/2012 12:00:00 AM,,10/26/2012 12:00:00 AM,10/26/2012 12:00:00 AM,,1392521,418141,W 
PADDOCK HILLS,"1266 WESTMINSTER DR
Cincinnati, OH
(39.166043479932796, -84.47542009465815)",SR12047874,CLOSED  ,Pothole repair,This has been requested by many residents multiple times.,10/19/2012 12:00:00 AM,1:13 PM,WESTMINSTER DR & PADDOCK HILLS DR,65,STANDARD,INTERNET,11600020120,10/19/2012 12:00:00 AM,CSRWEB,10/21/2012 12:00:00 AM,,10/26/2012 12:00:00 AM,10/26/2012 12:00:00 AM,,1408488,430805,
CARTHAGE,"9 E 67TH ST
Cincinnati, OH
(39.19103563912705, -84.48298339292461)",SR12047730,CLOSED  ,Pothole repair,large pothole on 67th near Vine st.,10/18/2012 12:00:00 AM,1:00 PM,9 E 67TH ST - GJ1737640983,61,STANDARD,PHONE,24100040106,10/18/2012 12:00:00 AM,DCOTTRELL,10/20/2012 12:00:00 AM,,10/26/2012 12:00:00 AM,10/26/2012 12:00:00 AM,,1406503,439926,E 
CORRYVILLE,"30 E CORRY ST
Cincinnati, OH
(39.12906335808799, -84.50838924025231)",SR12047721,CLOSED  ,Pothole repair,ON CORRY BETWEEN EUCLID & SHORT VINE,10/18/2012 12:00:00 AM,12:26 PM,E CORRY ST & EUCLID AV,33,STANDARD,INTERNET,9200020012,10/18/2012 12:00:00 AM,CSRWEB,10/20/2012 12:00:00 AM,,10/26/2012 12:00:00 AM,10/26/2012 12:00:00 AM,,1398928,417518,E 
CALIFORNIA,"5650 KELLOGG AV
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12047676,CLOSED  ,Pothole repair,This is very curvy section of road and it is impossible to miss this hole without crossing over the center line.  Someone is going to get hurt unless this gets repaired.,10/18/2012 12:00:00 AM,10:21 AM,KELLOGG AV & APPLE HILL RD,45,STANDARD,INTERNET,700030007,10/18/2012 12:00:00 AM,CSRWEB,10/20/2012 12:00:00 AM,,10/29/2012 12:00:00 AM,10/29/2012 12:00:00 AM,,1423251,396393,
OAKLEY,"5155 LESTER RD
Cincinnati, OH
(39.167266557892674, -84.43227961691264)",SR12047631,CLOSED  ,Pothole repair,No street number available.  On Highland Ave. @ railroad overpass near where Lester Road dead ends.,10/17/2012 12:00:00 AM,11:27 PM,HIGHLAND DR & LESTER RD,54,STANDARD,INTERNET,5200060006,10/17/2012 12:00:00 AM,CSRWEB,10/19/2012 12:00:00 AM,,10/29/2012 12:00:00 AM,10/29/2012 12:00:00 AM,,1420811,430807,
COLUMBIA TUSCULUM,"550 STANLEY AV
Cincinnati, OH
(39.118745686811614, -84.43031347088554)",SR12047575,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,10/17/2012 12:00:00 AM,2:22 PM,550 STANLEY AV CINC - GJ2218133064,47.01,STANDARD,INTERNET,2600050030,10/17/2012 12:00:00 AM,CSRWEB,10/19/2012 12:00:00 AM,,10/29/2012 12:00:00 AM,10/29/2012 12:00:00 AM,,1420959,413203,
WESTWOOD,"2938 QUEEN CITY AV
Cincinnati, OH
(39.1351157953452, -84.60007512113947)",SR12047557,INPROGRS,Pothole repair,north bound the blacktop is Washboarding can be danagerous,10/17/2012 12:00:00 AM,1:37 PM,FERGUSON RD & QUEEN CITY AV,109,STANDARD,INTERNET,20800590084,10/17/2012 12:00:00 AM,CSRWEB,10/19/2012 12:00:00 AM,,,11/01/2012 12:00:00 AM,,1372835,420362,
ROSELAWN,"7201 READING RD
Cincinnati, OH
(39.19284327640594, -84.46117483371404)",SR12047524,CLOSED  ,Pothole repair,7125 Reading Rd. - Valley Dentalcall/see Dave.Street is a dumping ground and needs repair large potholes.,10/17/2012 12:00:00 AM,12:09 PM,7201 READING RD - GJ1925141253,62.01,STANDARD,PHONE,01170A070003      ,10/17/2012 12:00:00 AM,SCOLEMAN,10/19/2012 12:00:00 AM,,11/01/2012 12:00:00 AM,11/01/2012 12:00:00 AM,,1412689,440505,
PENDLETON,"415 E 13TH ST
Cincinnati, OH
(39.11037544631915, -84.50784964703473)",SR12047512,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,10/17/2012 12:00:00 AM,11:13 AM,415 E 13TH ST CINC - GJ1548031969,11,STANDARD,INTERNET,7500030012,10/17/2012 12:00:00 AM,CAGISMOB,10/19/2012 12:00:00 AM,,11/01/2012 12:00:00 AM,11/01/2012 12:00:00 AM,,1398827,410709,E 
OAKLEY,"3857 ISABELLA AV
Cincinnati, OH
(39.14928011730666, -84.4324774677591)",SR12047478,CLOSED  ,Pothole repair,About 4 small potholes on Seal Ave very short street between Isabella and Mt. Vernon in Oakley.  Thanks!,10/17/2012 12:00:00 AM,9:19 AM,ISABELLA AV & SEAL ST,53,STANDARD,INTERNET,3900040012,10/17/2012 12:00:00 AM,CSRWEB,10/19/2012 12:00:00 AM,,10/25/2012 12:00:00 AM,10/25/2012 12:00:00 AM,MPOTTER,1420517,424437,
WESTWOOD,"3287 FERNCROFT DR
Cincinnati, OH
(39.14834482239621, -84.58404920257732)",SR12047442,CLOSED  ,Pothole repair,there are 3 grooved areas with potholes going up the hill.  the grooves assist with driving during snow.,10/17/2012 12:00:00 AM,1:15 AM,FERNCROFT DR & WESTWOOD NORTHERN BLVD,100.02,STANDARD,INTERNET,20900040060,10/17/2012 12:00:00 AM,CSRWEB,10/19/2012 12:00:00 AM,,10/22/2012 12:00:00 AM,10/22/2012 12:00:00 AM,,1377547,425164,
CLIFTON,"425 LUDLOW AV
Cincinnati, OH
(39.14412700207879, -84.52361476220835)",SR12047430,CLOSED  ,Pothole repair,I reported this earlier and it was filled. However the filling starting to sink immediatly and the pot hole is now back to its original size. The pothole is in the right lane of the east bound side of Ludlow before you arrive at Whitfield.,10/16/2012 12:00:00 AM,4:59 PM,LUDLOW AV & WHITFIELD AV,71,STANDARD,INTERNET,21400050135,10/16/2012 12:00:00 AM,CSRWEB,10/18/2012 12:00:00 AM,,10/22/2012 12:00:00 AM,10/22/2012 12:00:00 AM,,1394597,423146,
AVONDALE,"57 EHRMAN AV
Cincinnati, OH
(39.150386283402725, -84.50805649110146)",SR12047378,CLOSED  ,Pothole repair,3 Potholes 20 57 and 61 Ehrman Av.,10/16/2012 12:00:00 AM,1:47 PM,57 EHRMAN AV - GJ1532436414,69,STANDARD,PHONE,21600470217,10/16/2012 12:00:00 AM,DSWEETEN,10/18/2012 12:00:00 AM,,10/24/2012 12:00:00 AM,10/24/2012 12:00:00 AM,MPOTTER,1399038,425292,
OAKLEY,"5155 LESTER RD
Cincinnati, OH
(39.167266557892674, -84.43227961691264)",SR12047367,CLOSED  ,Pothole repair,Several potholes on Highland Dr. and Lester Rd.10/18/2012 8:47 AM/DCOTTRELL - call back for repairs- this is by the railroad tracks.,10/16/2012 12:00:00 AM,12:36 PM,HIGHLAND DR & LESTER RD - GJ2187138423,54,STANDARD,PHONE,5200060006,10/16/2012 12:00:00 AM,DSWEETEN,10/18/2012 12:00:00 AM,,10/18/2012 12:00:00 AM,10/18/2012 12:00:00 AM,TMACK,1420811,430807,
MOUNT AIRY,"5569 KIRBY AV
Cincinnati, OH
(39.1934008560641, -84.5717734568774)",SR12047324,CLOSED  ,Pothole repair,per 430- filled 1 large pothole used 1 bag QPR,10/16/2012 12:00:00 AM,9:43 AM,5569 KIRBY AV - GJ0969241028,83,STANDARD,PHONE,23100040100,10/16/2012 12:00:00 AM,DCOTTRELL,10/18/2012 12:00:00 AM,,10/16/2012 12:00:00 AM,10/16/2012 12:00:00 AM,,1381340,441328,
AVONDALE,"3494 READING RD
Cincinnati, OH
(39.144252907162866, -84.49096937254478)",SR12047255,CLOSED  ,Pothole repair,Pothole SB Reading Rd and Forest Av.,10/15/2012 12:00:00 AM,4:12 PM,READING RD & FOREST AV - GJ1683735803,68,STANDARD,PHONE,10700100023,10/15/2012 12:00:00 AM,DSWEETEN,10/17/2012 12:00:00 AM,,10/23/2012 12:00:00 AM,10/23/2012 12:00:00 AM,,1403896,423044,
HYDE PARK,"2779 OBSERVATORY AV
Cincinnati, OH
(39.137319134316954, -84.4398159355182)",SR12047220,CLOSED  ,Pothole repair,This sinkhole is in a part-time traffic lane on north side of Observatory approx 200 feet west of linwood intersection. It has sunk considerably over past few days.,10/15/2012 12:00:00 AM,2:25 PM,OBSERVATORY AV & LINWOOD AV,50,STANDARD,INTERNET,4600030177,10/15/2012 12:00:00 AM,CSRWEB,10/17/2012 12:00:00 AM,,10/29/2012 12:00:00 AM,10/29/2012 12:00:00 AM,,1418347,420142,
HYDE PARK,"3531 MONTEITH AV
Cincinnati, OH
(39.140232937691906, -84.4368211931606)",SR12046866,CLOSED  ,Pothole repair,The sewer is sinking in this location causing the road to have deep holes in it,10/11/2012 12:00:00 AM,7:26 PM,ZIEGLE AV & MONTEITH AV,50,STANDARD,INTERNET,4000060054,10/11/2012 12:00:00 AM,CSRWEB,10/13/2012 12:00:00 AM,,10/22/2012 12:00:00 AM,10/22/2012 12:00:00 AM,,1419217,421214,
WESTWOOD,"3538 EPWORTH AV
Cincinnati, OH
(39.153093242710895, -84.59939163639717)",SR12046798,CLOSED  ,Pothole repair,Road needs to be repaved from Harrison to Wardall Ave,10/11/2012 12:00:00 AM,1:07 PM,3538 EPWORTH AV CINC - GJ0745936511,101,STANDARD,INTERNET,21000770026,10/11/2012 12:00:00 AM,CSRWEB,10/13/2012 12:00:00 AM,,10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,,1373289,426893,
COLLEGE HILL,"5730 DAVEY AV
Cincinnati, OH
(39.19557721537501, -84.54786947733857)",SR12046760,CLOSED  ,Pothole repair,Large pothole on Davey Ave.,10/11/2012 12:00:00 AM,11:07 AM,DAVEY AV & LINDEN DR - GJ1176041326,82.02,STANDARD,PHONE,23400010040,10/11/2012 12:00:00 AM,SCOLEMAN,10/13/2012 12:00:00 AM,,10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,,1388163,441966,
HYDE PARK,"3423 GRACE AV
Cincinnati, OH
(39.13774181567078, -84.43203679996475)",SR12046665,CLOSED  ,Pothole repair,The manhole cover is in the middle of our block in front of our house 3423 Grace Ave. between Erie Ave. and Observatory Ave. Hyde Park.,10/10/2012 12:00:00 AM,5:49 PM,3423 GRACE AV CINC - GJ2191335207,51,STANDARD,INTERNET,3900060126,10/10/2012 12:00:00 AM,CSRWEB,10/12/2012 12:00:00 AM,,10/22/2012 12:00:00 AM,10/22/2012 12:00:00 AM,,1420430,420265,
KENNEDY HEIGHTS,"6303 KENNEDY AV
Cincinnati, OH
(39.18501018153074, -84.41414928480197)",SR12046657,CLOSED  ,Pothole repair,There are 2 large pothole on Solar Vista Pl. off of Kennedy Av. damage claim info was given,10/10/2012 12:00:00 AM,4:23 PM,SOLAR VISTA PL & KENNEDY AV - GJ2334940478,58,STANDARD,PHONE,12900020046,10/10/2012 12:00:00 AM,DSWEETEN,10/12/2012 12:00:00 AM,,10/17/2012 12:00:00 AM,10/17/2012 12:00:00 AM,TMACK,1425989,437298,
WESTWOOD,"3114 WORTHINGTON AV
Cincinnati, OH
(39.14518820207337, -84.58068573818775)",SR12046634,CLOSED  ,Pothole repair,31143120 3127 Worthington Av.,10/10/2012 12:00:00 AM,3:02 PM,3114 WORTHINGTON AV - GJ0910035669,100.02,STANDARD,PHONE,02070A540186      ,10/10/2012 12:00:00 AM,DSWEETEN,10/12/2012 12:00:00 AM,,10/22/2012 12:00:00 AM,10/22/2012 12:00:00 AM,,1378527,423867,
WEST END,"2229 SPRING GROVE AV
Cincinnati, OH
(39.12388466443006, -84.53614821132335)",SR12046628,CLOSED  ,Pothole repair,on the top deck of Western Hills Viaduct just before Queen City there is a large pothole curb lane,10/10/2012 12:00:00 AM,2:22 PM,WESTRN HILLS VIA TO I-75 SB RAMP BRIDGE & SPRING GROVE AV - GJ1300233437,1,STANDARD,PHONE,18700090126,10/10/2012 12:00:00 AM,DCOTTRELL,10/12/2012 12:00:00 AM,,11/14/2012 12:00:00 AM,11/14/2012 12:00:00 AM,,1390947,415918,
PLEASANT RIDGE,"2709 LOSANTIVILLE AV
Cincinnati, OH
(39.187753113720134, -84.43850292535541)",SR12046606,CLOSED  ,Pothole repair,large pothole at the driveway damage claim this is the first report for this pothole resident said it has been there  a year now. now has tire damage,10/10/2012 12:00:00 AM,12:52 PM,2709 LOSANTIVILLE AV - GJ2123540713,57.01,STANDARD,PHONE,12200010186,10/10/2012 12:00:00 AM,DCOTTRELL,10/12/2012 12:00:00 AM,,10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,,1419101,438412,
MOUNT WASHINGTON,"6007 TRIDALE CT
Cincinnati, OH
(39.095338781989255, -84.3976197459034)",SR12046441,CLOSED  ,Pothole repair,Several potholes in the area. This area has been repaired in the past but is never repaired properly.  Patch usually pops back out a day later.,10/09/2012 12:00:00 AM,11:50 AM,6007 TRIDALE CT CINC - GJ2506730558,46.01,STANDARD,INTERNET,400040276,10/09/2012 12:00:00 AM,CSRWEB,10/11/2012 12:00:00 AM,,10/22/2012 12:00:00 AM,10/22/2012 12:00:00 AM,,1430002,404523,
