COMMUNITY,Location 1,SR TYPE,CSR #,STATUS,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION
CUF,"2351 ROHS ST
Cincinnati, OH
(39.12668015471036, -84.5213844435757)",Graffiti removal,SR12051244,INPROGRS,Request entered through the Web. Refer to Intake Questions for further description.,11/18/2012 12:00:00 AM,3:18 PM,2351 ROHS ST CINC - GJ1424533763,26,STANDARD,INTERNET,10000020050,11/18/2012 12:00:00 AM,CSRWEB,12/18/2012 12:00:00 AM,,,11/26/2012 12:00:00 AM,,1395072,416785,
CUF,"2346 ROHS ST
Cincinnati, OH
(39.12659921572771, -84.52132149103363)",Graffiti removal,SR12051243,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,11/18/2012 12:00:00 AM,3:15 PM,2346 ROHS ST CINC - GJ1427833747,26,STANDARD,INTERNET,10000020081,11/18/2012 12:00:00 AM,CSRWEB,12/18/2012 12:00:00 AM,,12/06/2012 12:00:00 AM,12/06/2012 12:00:00 AM,,1395179,416730,
CBD/RIVERFRONT,"701 MAIN ST
Cincinnati, OH
(39.104269049740196, -84.51047566736031)",Graffiti removal,SR12051236,NEW     ,Property managers name is Kelly at Rookwood Properties 469-6589. I spoke with Leslee Wick (General Manager at Plaza art) regarding the graffiti. She gave me Kelly's number. Leslee Wicks number is 513-621-6993.,11/18/2012 12:00:00 AM,11:39 AM,701 MAIN ST CINC - GJ1526031296,7,STANDARD,INTERNET,7900010020,11/18/2012 12:00:00 AM,CSRWEB,12/18/2012 12:00:00 AM,,,11/18/2012 12:00:00 AM,,1398000,408538,
OVER-THE-RHINE,"136 E MCMICKEN AV
Cincinnati, OH
(39.11381984969137, -84.51347940293812)",Graffiti removal,SR12051233,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,11/18/2012 12:00:00 AM,12:16 AM,136 E MCMICKEN AV CINC - GJ1498832362,17,STANDARD,INTERNET,9400070236,11/18/2012 12:00:00 AM,CSRWEB,12/18/2012 12:00:00 AM,,11/29/2012 12:00:00 AM,11/29/2012 12:00:00 AM,,1397280,412075,E 
CUF,"169 W MCMILLAN ST
Cincinnati, OH
(39.127804307247004, -84.51897426053716)",Graffiti removal,SR12051231,CLOSED  ,Accessible from rooftop of 169 McMillanStreet level graffiti accessible from Clifton,11/17/2012 12:00:00 AM,9:49 PM,169 W MCMILLAN ST CINC - GJ1445333875,25,STANDARD,INTERNET,10000020328,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,11/29/2012 12:00:00 AM,11/29/2012 12:00:00 AM,,1395773,417120,W 
CUF,"200 W MCMILLAN ST
Cincinnati, OH
(39.12788524622965, -84.51937895545035)",Graffiti removal,SR12051230,INPROGRS,Accessible via 202 McMillan rooftop,11/17/2012 12:00:00 AM,9:42 PM,200 W MCMILLAN ST CINC - GJ1442633907,26,STANDARD,INTERNET,10200060144,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,,11/26/2012 12:00:00 AM,,1395690,417229,W 
OVER-THE-RHINE,"1401 WALNUT ST
Cincinnati, OH
(39.11119529948755, -84.51388984957795)",Graffiti removal,SR12051229,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/17/2012 12:00:00 AM,9:39 PM,1401 WALNUT ST CINC - GJ1494132064,10,STANDARD,INTERNET,8000010106,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,,11/17/2012 12:00:00 AM,,1397080,411105,
OVER-THE-RHINE,"1401 MAIN ST
Cincinnati, OH
(39.11150859207606, -84.51227431141888)",Graffiti removal,SR12051228,NEW     ,Accessible from 14th,11/17/2012 12:00:00 AM,9:38 PM,1401 MAIN ST CINC - GJ1507032092,10,STANDARD,INTERNET,8000010182,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,,11/17/2012 12:00:00 AM,,1397501,411177,
PENDLETON,"502 READING RD
Cincinnati, OH
(39.10915236835933, -84.50625784704289)",Graffiti removal,SR12051227,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,11/17/2012 12:00:00 AM,9:34 PM,502 READING RD CINC - GJ1560831871,11,STANDARD,INTERNET,7500030153,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,12/10/2012 12:00:00 AM,12/10/2012 12:00:00 AM,,1399231,410366,
PENDLETON,"610 READING RD
Cincinnati, OH
(39.110735175130856, -84.50409048095224)",Graffiti removal,SR12051226,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,11/17/2012 12:00:00 AM,9:31 PM,610 READING RD CINC - GJ1578832035,11,STANDARD,INTERNET,7500030119,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,12/10/2012 12:00:00 AM,12/10/2012 12:00:00 AM,,1399846,410871,
OVER-THE-RHINE,"1425 SYCAMORE ST
Cincinnati, OH
(39.11223704291979, -84.51083539617201)",Graffiti removal,SR12051225,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/17/2012 12:00:00 AM,9:04 PM,1425 SYCAMORE ST CINC - GJ1519832181,10,STANDARD,INTERNET,7500040152,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,,11/17/2012 12:00:00 AM,,1397940,411448,
OVER-THE-RHINE,"1315 MAIN ST
Cincinnati, OH
(39.110303500556824, -84.5119595487086)",Graffiti removal,SR12051221,NEW     ,Accessible via roof of 1317 main,11/17/2012 12:00:00 AM,4:23 PM,1315 MAIN ST CINC - GJ1510231960,10,STANDARD,INTERNET,8000020297,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,,11/17/2012 12:00:00 AM,,1397585,410742,
OVER-THE-RHINE,"1323 MAIN ST
Cincinnati, OH
(39.11053732428445, -84.51202250125067)",Graffiti removal,SR12051220,NEW     ,On top of Mr. Pitifuls,11/17/2012 12:00:00 AM,4:20 PM,1323 MAIN ST CINC - GJ1509431991,10,STANDARD,INTERNET,8000020301,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,,11/17/2012 12:00:00 AM,,1397566,410844,
CBD/RIVERFRONT,"709 MAIN ST
Cincinnati, OH
(39.10445790736634, -84.51052063346174)",Graffiti removal,SR12051219,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/17/2012 12:00:00 AM,4:15 PM,709 MAIN ST CINC - GJ1525531318,7,STANDARD,INTERNET,7900010024,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,,11/17/2012 12:00:00 AM,,1397985,408611,
SOUTH FAIRMOUNT,"1789 QUEEN CITY AV
Cincinnati, OH
(39.12588875132457, -84.55739329762889)",Graffiti removal,SR12051217,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,11/17/2012 12:00:00 AM,3:00 PM,1789 QUEEN CITY AV CINC - GJ1113933562,87,STANDARD,INTERNET,20300270064,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,12/11/2012 12:00:00 AM,12/11/2012 12:00:00 AM,,1384863,416634,
SOUTH FAIRMOUNT,"1515 TREMONT ST
Cincinnati, OH
(39.12707585640328, -84.5459359349756)",Graffiti removal,SR12051216,INPROGRS,Request entered through the Web. Refer to Intake Questions for further description.,11/17/2012 12:00:00 AM,2:58 PM,1515 TREMONT ST CINC - GJ1212833737,87,STANDARD,INTERNET,17000070011,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,,11/29/2012 12:00:00 AM,,1388133,417047,
CUF,"2335 W MCMICKEN AV
Cincinnati, OH
(39.124314937773306, -84.53239214521432)",Graffiti removal,SR12051215,CLOSED  ,Accessible from W McMillan,11/17/2012 12:00:00 AM,2:55 PM,2335 W MCMICKEN AV CINC - GJ1328633478,14,STANDARD,INTERNET,9700010015,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,11/27/2012 12:00:00 AM,11/27/2012 12:00:00 AM,,1391883,416008,W 
CUF,"2321 W MCMICKEN AV
Cincinnati, OH
(39.12400916828335, -84.53247308419697)",Graffiti removal,SR12051214,CLOSED  ,Accessible from Central Parkway,11/17/2012 12:00:00 AM,2:52 PM,2321 W MCMICKEN AV CINC - GJ1328333427,14,STANDARD,INTERNET,9700010021,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,12/03/2012 12:00:00 AM,12/03/2012 12:00:00 AM,,1391867,415843,W 
CUF,"615 W MCMICKEN AV
Cincinnati, OH
(39.122318267290616, -84.53126697158581)",Graffiti removal,SR12051213,CLOSED  ,Accesible via public staircase,11/17/2012 12:00:00 AM,2:48 PM,615 W MCMICKEN AV CINC - GJ1340133245,15,STANDARD,INTERNET,9700030091,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,11/27/2012 12:00:00 AM,11/27/2012 12:00:00 AM,,1392220,415228,W 
MOUNT AUBURN,"228 E LIBERTY ST
Cincinnati, OH
(39.11260576495181, -84.51115015888223)",Graffiti removal,SR12051212,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,11/17/2012 12:00:00 AM,2:43 PM,228 E LIBERTY ST CINC - GJ1518232248,17,STANDARD,INTERNET,8600020039,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,12/04/2012 12:00:00 AM,12/04/2012 12:00:00 AM,,1397894,411670,E 
MOUNT AUBURN,"210 E LIBERTY ST
Cincinnati, OH
(39.11265073105329, -84.51194156226802)",Graffiti removal,SR12051211,INPROGRS,Accessible via roof of 208 E. Liberty,11/17/2012 12:00:00 AM,2:41 PM,210 E LIBERTY ST CINC - GJ1511832245,17,STANDARD,INTERNET,8600030061,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,,11/27/2012 12:00:00 AM,,1397684,411671,E 
MOUNT AUBURN,"214 E LIBERTY ST
Cincinnati, OH
(39.11264173783297, -84.51178867752304)",Graffiti removal,SR12051210,INPROGRS,Request entered through the Web. Refer to Intake Questions for further description.,11/17/2012 12:00:00 AM,2:38 PM,214 E LIBERTY ST CINC - GJ1513032245,17,STANDARD,INTERNET,8600030063,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,,11/27/2012 12:00:00 AM,,1397724,411667,E 
OVER-THE-RHINE,"46 E MCMICKEN AV
Cincinnati, OH
(39.11569043951232, -84.5156107961476)",Graffiti removal,SR12051209,NEW     ,Accessible from roof of 48 E McMicken,11/17/2012 12:00:00 AM,2:35 PM,46 E MCMICKEN AV CINC - GJ1480432571,17,STANDARD,INTERNET,9400050292,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,,11/17/2012 12:00:00 AM,,1396710,412790,E 
OVER-THE-RHINE,"282 W MCMICKEN AV
Cincinnati, OH
(39.1202781373784, -84.52431282084373)",Graffiti removal,SR12051208,INPROGRS,Request entered through the Web. Refer to Intake Questions for further description.,11/17/2012 12:00:00 AM,2:27 PM,282 W MCMICKEN AV CINC - GJ1403533055,16,STANDARD,INTERNET,9600040182,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,,11/29/2012 12:00:00 AM,,1394270,414503,W 
OVER-THE-RHINE,"1502 VINE ST
Cincinnati, OH
(39.112129124276294, -84.51570972157083)",Graffiti removal,SR12051207,NEW     ,Accessible from Crossroads parking lot,11/17/2012 12:00:00 AM,2:22 PM,1502 VINE ST CINC - GJ1481032163,10,STANDARD,INTERNET,8000010019,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,,11/17/2012 12:00:00 AM,,1396662,411452,
CBD/RIVERFRONT,"721 MAIN ST
Cincinnati, OH
(39.104573355312105, -84.51058909847427)",Graffiti removal,SR12051203,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/17/2012 12:00:00 AM,12:28 PM,721 MAIN ST CINC - GJ1525031340,7,STANDARD,INTERNET,7900010029,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,,11/17/2012 12:00:00 AM,,1397970,408685,
CBD/RIVERFRONT,"709 MAIN ST
Cincinnati, OH
(39.10445790736634, -84.51052063346174)",Graffiti removal,SR12051202,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/17/2012 12:00:00 AM,12:26 PM,709 MAIN ST CINC - GJ1525531318,7,STANDARD,INTERNET,7900010024,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,,11/17/2012 12:00:00 AM,,1397985,408611,
CBD/RIVERFRONT,"709 MAIN ST
Cincinnati, OH
(39.10445790736634, -84.51052063346174)",Graffiti removal,SR12051201,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/17/2012 12:00:00 AM,12:23 PM,709 MAIN ST CINC - GJ1525531318,7,STANDARD,INTERNET,7900010024,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,,11/17/2012 12:00:00 AM,,1397985,408611,
CBD/RIVERFRONT,"721 MAIN ST
Cincinnati, OH
(39.104573355312105, -84.51058909847427)",Graffiti removal,SR12051200,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/17/2012 12:00:00 AM,12:18 PM,721 MAIN ST CINC - GJ1525031340,7,STANDARD,INTERNET,7900010029,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,,11/17/2012 12:00:00 AM,,1397970,408685,
CBD/RIVERFRONT,"201 E 8TH ST
Cincinnati, OH
(39.104855616866026, -84.5105665822422)",Graffiti removal,SR12051199,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/17/2012 12:00:00 AM,12:16 PM,E 8TH ST & MAIN ST,7,STANDARD,INTERNET,7900040045,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,,11/17/2012 12:00:00 AM,,1397996,408784,E 
EAST WALNUT HILLS,"407 COLLINS AV
Cincinnati, OH
(39.12523224624317, -84.46926873197776)",Graffiti removal,SR12051197,NEW     ,I placed an earlier service request on 10/24/12 -- SR12048370.It's not on the house at 407 but across the street.,11/17/2012 12:00:00 AM,11:30 AM,407 COLLINS AV CINC - GJ1875333722,42,STANDARD,INTERNET,6400010014,11/17/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,,11/17/2012 12:00:00 AM,,1409835,415919,
MOUNT AUBURN,"1931 VINE ST
Cincinnati, OH
(39.11772503234737, -84.51722657975506)",Graffiti removal,SR12051167,INPROGRS,Request entered through the Web. Refer to Intake Questions for further description.,11/16/2012 12:00:00 AM,3:25 PM,W CLIFTON AV & VINE ST,25,STANDARD,INTERNET,9500030044,11/16/2012 12:00:00 AM,CSRWEB,12/16/2012 12:00:00 AM,,,11/27/2012 12:00:00 AM,,1396199,413722,
OVER-THE-RHINE,"1300 VINE ST
Cincinnati, OH
(39.10959303615368, -84.5150622097097)",Graffiti removal,SR12051164,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/16/2012 12:00:00 AM,3:22 PM,1300 VINE ST CINC - GJ1487531880,10,STANDARD,INTERNET,8000020163,11/16/2012 12:00:00 AM,CSRWEB,12/16/2012 12:00:00 AM,,,11/16/2012 12:00:00 AM,,1396830,410513,
WALNUT HILLS,"910 WILLIAM H TAFT RD
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",Graffiti removal,SR12051115,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/16/2012 12:00:00 AM,10:59 AM,910 WILLIAM H TAFT RD CINC - GJ1705933937,37,STANDARD,INTERNET,6700030068,11/16/2012 12:00:00 AM,CSRWEB,12/16/2012 12:00:00 AM,,,11/16/2012 12:00:00 AM,,1404320,416899,
MOUNT AUBURN,"2105 VINE ST
Cincinnati, OH
(39.119854300507996, -84.51731051478299)",Graffiti removal,SR12051099,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,11/16/2012 12:00:00 AM,9:28 AM,2105 VINE ST CINC - GJ1461533017,25,STANDARD,INTERNET,9500050201,11/16/2012 12:00:00 AM,CSRWEB,12/16/2012 12:00:00 AM,,12/17/2012 12:00:00 AM,12/17/2012 12:00:00 AM,,1396163,414283,
AVONDALE,"3019 READING RD
Cincinnati, OH
(39.13364990043743, -84.49699483014109)",Graffiti removal,SR12051067,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/15/2012 12:00:00 AM,4:51 PM,3019 READING RD CINC - GJ1633134595,34,STANDARD,INTERNET,9100020034,11/15/2012 12:00:00 AM,CSRWEB,12/15/2012 12:00:00 AM,,,11/15/2012 12:00:00 AM,,1402040,419172,
AVONDALE,"630 OAK ST
Cincinnati, OH
(39.1298367750332, -84.49697684370051)",Graffiti removal,SR12051066,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/15/2012 12:00:00 AM,4:48 PM,630 OAK ST CINC - GJ1637834193,34,STANDARD,INTERNET,9100020001,11/15/2012 12:00:00 AM,CSRWEB,12/15/2012 12:00:00 AM,,,11/15/2012 12:00:00 AM,,1402130,417847,
OVER-THE-RHINE,"1931 VINE ST
Cincinnati, OH
(39.11772503234737, -84.51722657975506)",Graffiti removal,SR12050974,NEW     ,Accessible from roof of 38 E McMicken,11/15/2012 12:00:00 AM,10:14 AM,1931 VINE ST CINC - GJ1462032837,26,STANDARD,INTERNET,9500030044,11/15/2012 12:00:00 AM,CSRWEB,12/15/2012 12:00:00 AM,,,11/15/2012 12:00:00 AM,,1396150,413691,
OVER-THE-RHINE,"29 E CLIFTON AV
Cincinnati, OH
(39.11770492085793, -84.51659105715953)",Graffiti removal,SR12050973,INPROGRS,Request entered through the Web. Refer to Intake Questions for further description.,11/15/2012 12:00:00 AM,10:11 AM,29 E CLIFTON AV CINC - GJ1469232766,17,STANDARD,INTERNET,9400050132,11/15/2012 12:00:00 AM,CSRWEB,12/15/2012 12:00:00 AM,,,11/19/2012 12:00:00 AM,,1396377,413448,E 
PENDLETON,"1310 SYCAMORE ST
Cincinnati, OH
(39.11014162259153, -84.51021486397178)",Graffiti removal,SR12050949,CLOSED  ,Graffiti on wall next to building,11/15/2012 12:00:00 AM,8:03 AM,1310 SYCAMORE ST - GJ1530031983,11,STANDARD,PHONE,7500010044,11/15/2012 12:00:00 AM,LSHACKELFORD,12/15/2012 12:00:00 AM,,11/20/2012 12:00:00 AM,11/20/2012 12:00:00 AM,,1398237,410780,
MADISONVILLE,"6021 MADISON RD
Cincinnati, OH
(39.16043171046999, -84.39086583746337)",Graffiti removal,SR12050948,CLOSED  ,Graffiti on brick wall in front of building,11/15/2012 12:00:00 AM,7:48 AM,6021 MADISON RD - GJ2543437795,55,STANDARD,PHONE,3600030006,11/15/2012 12:00:00 AM,LSHACKELFORD,12/15/2012 12:00:00 AM,,12/05/2012 12:00:00 AM,12/05/2012 12:00:00 AM,,1432381,428168,
CAMP WASHINGTON,"3627 SPRING GROVE AV
Cincinnati, OH
(39.15198707661489, -84.5421947553337)",Graffiti removal,SR12050946,NEW     ,Graffiti under rail road bridge,11/15/2012 12:00:00 AM,7:01 AM,3627 SPRING GROVE AV - GJ1236036514,28,STANDARD,PHONE,19100320067,11/15/2012 12:00:00 AM,LSHACKELFORD,12/15/2012 12:00:00 AM,,,11/15/2012 12:00:00 AM,,1389344,426105,
CUF,"261 W MCMILLAN ST
Cincinnati, OH
(39.12801115131373, -84.52213088086)",Graffiti removal,SR12050944,CLOSED  ,Graffiti on Building,11/15/2012 12:00:00 AM,6:51 AM,261 W MCMILLAN ST - GJ1418833887,26,STANDARD,PHONE,10000010146,11/15/2012 12:00:00 AM,LSHACKELFORD,12/15/2012 12:00:00 AM,,11/15/2012 12:00:00 AM,11/15/2012 12:00:00 AM,,1394905,417199,W 
WESTWOOD,"3453 CHEVIOT AV
Cincinnati, OH
(39.15095285628115, -84.60655923297071)",Graffiti removal,SR12050943,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,11/15/2012 12:00:00 AM,6:49 AM,HERBERT AV & CHEVIOT AV,102.01,STANDARD,INTERNET,21100710095,11/15/2012 12:00:00 AM,CSRWEB,12/15/2012 12:00:00 AM,,12/12/2012 12:00:00 AM,12/12/2012 12:00:00 AM,,1371164,426162,
WESTWOOD,"3300 PARKCREST LN
Cincinnati, OH
(39.14605155122149, -84.62234233458491)",Graffiti removal,SR12050942,CLOSED  ,Big blue and green graffiti on the wall behind this building. and it has gotten bigger,11/15/2012 12:00:00 AM,6:48 AM,3300 PARKCREST LN CINC - GJ0547735629,102.01,STANDARD,INTERNET,21200630154,11/15/2012 12:00:00 AM,CSRWEB,12/15/2012 12:00:00 AM,,12/10/2012 12:00:00 AM,12/10/2012 12:00:00 AM,,1366650,424329,
MADISONVILLE,"6022 MADISON RD
Cincinnati, OH
(39.16048566979174, -84.39086583746337)",Graffiti removal,SR12050936,NEW     ,On unpainted red brick and plywood.,11/14/2012 12:00:00 AM,7:57 PM,MADISON RD & MATHIS ST,55,STANDARD,INTERNET,3500030143,11/14/2012 12:00:00 AM,CSRWEB,12/14/2012 12:00:00 AM,,,11/14/2012 12:00:00 AM,,1432432,428264,
MADISONVILLE,"4718 WHETSEL AV
Cincinnati, OH
(39.157293076587735, -84.39345588490778)",Graffiti removal,SR12050935,NEW     ,Yellow painted brick,11/14/2012 12:00:00 AM,7:53 PM,WHETSEL AV & ERIE AV,56,STANDARD,INTERNET,3600040084,11/14/2012 12:00:00 AM,CSRWEB,12/14/2012 12:00:00 AM,,,11/14/2012 12:00:00 AM,,1431627,427152,
NORTHSIDE,"1 MOLINE CT
Cincinnati, OH
(39.160971303687575, -84.53848954857295)",Graffiti removal,SR12050910,NEW     ,You have been a great help in removing it before.  The graffiti is 8 ft high and 10 ft. across. It is very visible from Hamilton ave.  The faster it is removed the better.,11/14/2012 12:00:00 AM,4:42 PM,MOLINE CT & LANGLAND ST,74,STANDARD,INTERNET,22100130204,11/14/2012 12:00:00 AM,CSRWEB,12/14/2012 12:00:00 AM,,,11/14/2012 12:00:00 AM,,1390569,429372,
MOUNT AUBURN,"29 MULBERRY ST
Cincinnati, OH
(39.11882907339458, -84.51647414529572)",Graffiti removal,SR12050810,CLOSED  ,Winkler Recreation Area,11/14/2012 12:00:00 AM,10:05 AM,MULBERRY ST & RICE ST,23,STANDARD,INTERNET,9400040334,11/14/2012 12:00:00 AM,CSRWEB,12/14/2012 12:00:00 AM,,12/03/2012 12:00:00 AM,12/03/2012 12:00:00 AM,,1396490,413846,
MOUNT AUBURN,"4 THILL ST
Cincinnati, OH
(39.12341561574402, -84.5140729554775)",Graffiti removal,SR12050806,INPROGRS,Request entered through the Web. Refer to Intake Questions for further description.,11/14/2012 12:00:00 AM,9:54 AM,4 THILL ST CINC - GJ1489733425,23,STANDARD,INTERNET,9300020205,11/14/2012 12:00:00 AM,CSRWEB,12/14/2012 12:00:00 AM,,,11/27/2012 12:00:00 AM,,1397155,415573,
MOUNT AUBURN,"2306 VINE ST
Cincinnati, OH
(39.12379333099631, -84.51441469784862)",Graffiti removal,SR12050805,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,11/14/2012 12:00:00 AM,9:52 AM,2306 VINE ST CINC - GJ1488633453,23,STANDARD,INTERNET,9300020011,11/14/2012 12:00:00 AM,CSRWEB,12/14/2012 12:00:00 AM,,12/06/2012 12:00:00 AM,12/06/2012 12:00:00 AM,,1397120,415662,
MOUNT ADAMS,"317 BAUM ST
Cincinnati, OH
(39.10466475143312, -84.49870354199675)",Graffiti removal,SR12050772,CLOSED  ,Graffiti on city Wall,11/14/2012 12:00:00 AM,6:52 AM,317 BAUM ST - GJ1627831362,12,STANDARD,PHONE,7900060135,11/14/2012 12:00:00 AM,LSHACKELFORD,12/14/2012 12:00:00 AM,,11/21/2012 12:00:00 AM,11/21/2012 12:00:00 AM,,1401341,408587,
MOUNT ADAMS,"923 RIVERVIEW PL
Cincinnati, OH
(39.105591053123305, -84.4971926809875)",Graffiti removal,SR12050710,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/13/2012 12:00:00 AM,12:49 PM,923 RIVERVIEW PL CINC - GJ1641831463,12,STANDARD,INTERNET,7300010295,11/13/2012 12:00:00 AM,CSRWEB,12/13/2012 12:00:00 AM,,,11/13/2012 12:00:00 AM,,1401818,408896,
EAST PRICE HILL,"4220 GLENWAY AV
Cincinnati, OH
(39.11437742934953, -84.58424705342378)",Graffiti removal,SR12050688,CLOSED  ,Graffiti is located on the DEALS store building,11/13/2012 12:00:00 AM,11:28 AM,4220 GLENWAY AV CINC - GJ0886332276,97,STANDARD,INTERNET,17900750335,11/13/2012 12:00:00 AM,CSRWEB,12/13/2012 12:00:00 AM,,12/11/2012 12:00:00 AM,12/11/2012 12:00:00 AM,,1377195,412791,
QUEENSGATE,"1155 WESTERN AV
Cincinnati, OH
(39.1081451276865, -84.53234717911283)",Graffiti removal,SR12050618,INPROGRS,They used red spray paint and applied directly to the unpainted brick surface of the building.,11/13/2012 12:00:00 AM,8:52 AM,1155 WESTERN AV CINC - GJ1331031678,1,STANDARD,INTERNET,14300040056,11/13/2012 12:00:00 AM,CSRWEB,12/13/2012 12:00:00 AM,,,12/05/2012 12:00:00 AM,,1391670,410108,
CBD/RIVERFRONT,"314 MAIN ST
Cincinnati, OH
(39.09961955484874, -84.50921661651927)",Graffiti removal,SR12050576,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/12/2012 12:00:00 AM,9:03 PM,314 MAIN ST CINC - GJ1539930786,6,STANDARD,INTERNET,8300030008,11/12/2012 12:00:00 AM,CSRWEB,12/12/2012 12:00:00 AM,,,11/12/2012 12:00:00 AM,,1398370,406846,
CUF,"349 WARNER ST
Cincinnati, OH
(39.12502540217645, -84.52564722999455)",Graffiti removal,SR12050558,INPROGRS,Request entered through the Web. Refer to Intake Questions for further description.,11/12/2012 12:00:00 AM,12:38 PM,WARNER ST & RAVINE ST,27,STANDARD,INTERNET,9600020209,11/12/2012 12:00:00 AM,CSRWEB,12/12/2012 12:00:00 AM,,,11/26/2012 12:00:00 AM,,1393842,416227,
CBD/RIVERFRONT,"300 LYTLE ST
Cincinnati, OH
(39.10095954467238, -84.50341598943027)",Graffiti removal,SR12050549,NEW     ,If volunteers are needed to do the graffiti removal I would be happy to do it.,11/12/2012 12:00:00 AM,11:28 AM,300 LYTLE ST CINC - GJ1589330953,6,STANDARD,INTERNET,8400030120,11/12/2012 12:00:00 AM,CSRWEB,12/12/2012 12:00:00 AM,,,11/12/2012 12:00:00 AM,,1400014,407311,
MOUNT AUBURN,"1705 SYCAMORE ST
Cincinnati, OH
(39.11402669375809, -84.51078143685027)",Graffiti removal,SR12050529,INPROGRS,Request entered through the Web. Refer to Intake Questions for further description.,11/11/2012 12:00:00 AM,3:40 PM,1705 SYCAMORE ST CINC - GJ1519632380,17,STANDARD,INTERNET,8600020054,11/11/2012 12:00:00 AM,CSRWEB,12/11/2012 12:00:00 AM,,,11/27/2012 12:00:00 AM,,1397963,412101,
CUF,"64 W MCMILLAN ST
Cincinnati, OH
(39.127543503858476, -84.51417188090073)",Graffiti removal,SR12050528,CLOSED  ,Accessible from side parking lot,11/11/2012 12:00:00 AM,3:38 PM,64 W MCMILLAN ST CINC - GJ1487933886,33,STANDARD,INTERNET,10200050237,11/11/2012 12:00:00 AM,CSRWEB,12/11/2012 12:00:00 AM,,11/27/2012 12:00:00 AM,11/27/2012 12:00:00 AM,,1397172,417087,W 
